state_or_territory,year,month,day,locally_acquired_cases,presumptive_viremic_blood_donors,symptomatic_disease_cases,travel_associated_cases
Nevada,2016,Mar,30,0.0,0.0,0.0,2.0
New Hampshire,2016,Mar,30,0.0,0.0,0.0,2.0
New Jersey,2016,Mar,30,0.0,0.0,0.0,5.0
New York,2016,Mar,30,0.0,0.0,0.0,46.0
North Carolina,2016,Mar,30,0.0,0.0,0.0,7.0
Ohio,2016,Mar,30,0.0,0.0,0.0,9.0
Oklahoma,2016,Mar,30,0.0,0.0,0.0,3.0
Oregon,2016,Mar,30,0.0,0.0,0.0,6.0
Pennsylvania,2016,Mar,30,0.0,0.0,0.0,11.0
Tennessee,2016,Mar,30,0.0,0.0,0.0,1.0
Texas,2016,Mar,30,0.0,0.0,0.0,27.0
Utah,2016,Mar,30,0.0,0.0,0.0,2.0
Virginia,2016,Mar,30,0.0,0.0,0.0,8.0
Washington,2016,Mar,30,0.0,0.0,0.0,2.0
West Virginia,2016,Mar,30,0.0,0.0,0.0,5.0
American Samoa,2016,Mar,30,14.0,0.0,0.0,0.0
Puerto Rico,2016,Mar,30,325.0,0.0,0.0,2.0
US Virgin Islands,2016,Mar,30,10.0,0.0,0.0,1.0
Alabama,2016,Apr,6,0.0,0.0,0.0,2.0
Arizona,2016,Apr,6,0.0,0.0,0.0,1.0
Arkansas,2016,Apr,6,0.0,0.0,0.0,1.0
California,2016,Apr,6,0.0,0.0,0.0,29.0
Colorado,2016,Apr,6,0.0,0.0,0.0,2.0
Connecticut,2016,Apr,6,0.0,0.0,0.0,1.0
Delaware,2016,Apr,6,0.0,0.0,0.0,3.0
District of Columbia,2016,Apr,6,0.0,0.0,0.0,3.0
Florida,2016,Apr,6,0.0,0.0,0.0,78.0
Georgia,2016,Apr,6,0.0,0.0,0.0,11.0
Hawaii,2016,Apr,6,0.0,0.0,0.0,5.0
Illinois,2016,Apr,6,0.0,0.0,0.0,10.0
Indiana,2016,Apr,6,0.0,0.0,0.0,6.0
Iowa,2016,Apr,6,0.0,0.0,0.0,4.0
Kansas,2016,Apr,6,0.0,0.0,0.0,1.0
Kentucky,2016,Apr,6,0.0,0.0,0.0,3.0
Louisiana,2016,Apr,6,0.0,0.0,0.0,4.0
Maine,2016,Apr,6,0.0,0.0,0.0,1.0
Maryland,2016,Apr,6,0.0,0.0,0.0,6.0
Massachusetts,2016,Apr,6,0.0,0.0,0.0,7.0
Michigan,2016,Apr,6,0.0,0.0,0.0,2.0
Minnesota,2016,Apr,6,0.0,0.0,0.0,12.0
Mississippi,2016,Apr,6,0.0,0.0,0.0,2.0
Missouri,2016,Apr,6,0.0,0.0,0.0,2.0
Montana,2016,Apr,6,0.0,0.0,0.0,1.0
Nebraska,2016,Apr,6,0.0,0.0,0.0,2.0
Nevada,2016,Apr,6,0.0,0.0,0.0,2.0
New Hampshire,2016,Apr,6,0.0,0.0,0.0,2.0
New Jersey,2016,Apr,6,0.0,0.0,0.0,5.0
New York,2016,Apr,6,0.0,0.0,0.0,55.0
North Carolina,2016,Apr,6,0.0,0.0,0.0,8.0
Ohio,2016,Apr,6,0.0,0.0,0.0,9.0
Oklahoma,2016,Apr,6,0.0,0.0,0.0,3.0
Oregon,2016,Apr,6,0.0,0.0,0.0,6.0
Pennsylvania,2016,Apr,6,0.0,0.0,0.0,12.0
Tennessee,2016,Apr,6,0.0,0.0,0.0,1.0
Texas,2016,Apr,6,0.0,0.0,0.0,27.0
Utah,2016,Apr,6,0.0,0.0,0.0,2.0
Virginia,2016,Apr,6,0.0,0.0,0.0,8.0
Washington,2016,Apr,6,0.0,0.0,0.0,2.0
West Virginia,2016,Apr,6,0.0,0.0,0.0,5.0
American Samoa,2016,Apr,6,14.0,0.0,0.0,0.0
Puerto Rico,2016,Apr,6,325.0,0.0,0.0,2.0
US Virgin Islands,2016,Apr,6,12.0,0.0,0.0,1.0
Alabama,2016,Apr,13,0.0,0.0,0.0,2.0
Arizona,2016,Apr,13,0.0,0.0,0.0,1.0
Arkansas,2016,Apr,13,0.0,0.0,0.0,2.0
California,2016,Apr,13,0.0,0.0,0.0,29.0
Colorado,2016,Apr,13,0.0,0.0,0.0,2.0
Connecticut,2016,Apr,13,0.0,0.0,0.0,1.0
Delaware,2016,Apr,13,0.0,0.0,0.0,3.0
District of Columbia,2016,Apr,13,0.0,0.0,0.0,3.0
Florida,2016,Apr,13,0.0,0.0,0.0,82.0
Georgia,2016,Apr,13,0.0,0.0,0.0,11.0
Hawaii,2016,Apr,13,0.0,0.0,0.0,5.0
Illinois,2016,Apr,13,0.0,0.0,0.0,10.0
Indiana,2016,Apr,13,0.0,0.0,0.0,6.0
Iowa,2016,Apr,13,0.0,0.0,0.0,4.0
Kansas,2016,Apr,13,0.0,0.0,0.0,1.0
Kentucky,2016,Apr,13,0.0,0.0,0.0,3.0
Louisiana,2016,Apr,13,0.0,0.0,0.0,4.0
Maine,2016,Apr,13,0.0,0.0,0.0,1.0
Maryland,2016,Apr,13,0.0,0.0,0.0,7.0
Massachusetts,2016,Apr,13,0.0,0.0,0.0,7.0
Michigan,2016,Apr,13,0.0,0.0,0.0,2.0
Minnesota,2016,Apr,13,0.0,0.0,0.0,12.0
Mississippi,2016,Apr,13,0.0,0.0,0.0,3.0
Missouri,2016,Apr,13,0.0,0.0,0.0,3.0
Montana,2016,Apr,13,0.0,0.0,0.0,1.0
Nebraska,2016,Apr,13,0.0,0.0,0.0,2.0
Nevada,2016,Apr,13,0.0,0.0,0.0,2.0
New Hampshire,2016,Apr,13,0.0,0.0,0.0,2.0
New Jersey,2016,Apr,13,0.0,0.0,0.0,8.0
New York,2016,Apr,13,0.0,0.0,0.0,54.0
North Carolina,2016,Apr,13,0.0,0.0,0.0,9.0
Ohio,2016,Apr,13,0.0,0.0,0.0,9.0
Oklahoma,2016,Apr,13,0.0,0.0,0.0,3.0
Oregon,2016,Apr,13,0.0,0.0,0.0,6.0
Pennsylvania,2016,Apr,13,0.0,0.0,0.0,12.0
Tennessee,2016,Apr,13,0.0,0.0,0.0,2.0
Texas,2016,Apr,13,0.0,0.0,0.0,27.0
Utah,2016,Apr,13,0.0,0.0,0.0,2.0
Virginia,2016,Apr,13,0.0,0.0,0.0,8.0
Washington,2016,Apr,13,0.0,0.0,0.0,2.0
West Virginia,2016,Apr,13,0.0,0.0,0.0,5.0
American Samoa,2016,Apr,13,14.0,0.0,0.0,0.0
Puerto Rico,2016,Apr,13,445.0,0.0,0.0,3.0
US Virgin Islands,2016,Apr,13,12.0,0.0,0.0,1.0
Alabama,2016,Apr,20,0.0,0.0,0.0,2.0
Arizona,2016,Apr,20,0.0,0.0,0.0,1.0
Arkansas,2016,Apr,20,0.0,0.0,0.0,2.0
California,2016,Apr,20,0.0,0.0,0.0,29.0
Colorado,2016,Apr,20,0.0,0.0,0.0,2.0
Connecticut,2016,Apr,20,0.0,0.0,0.0,1.0
Delaware,2016,Apr,20,0.0,0.0,0.0,3.0
District of Columbia,2016,Apr,20,0.0,0.0,0.0,3.0
Florida,2016,Apr,20,0.0,0.0,0.0,84.0
Georgia,2016,Apr,20,0.0,0.0,0.0,13.0
Hawaii,2016,Apr,20,0.0,0.0,0.0,7.0
Illinois,2016,Apr,20,0.0,0.0,0.0,12.0
Indiana,2016,Apr,20,0.0,0.0,0.0,6.0
Iowa,2016,Apr,20,0.0,0.0,0.0,4.0
Kansas,2016,Apr,20,0.0,0.0,0.0,1.0
Kentucky,2016,Apr,20,0.0,0.0,0.0,3.0
Louisiana,2016,Apr,20,0.0,0.0,0.0,4.0
Maine,2016,Apr,20,0.0,0.0,0.0,2.0
Maryland,2016,Apr,20,0.0,0.0,0.0,8.0
Massachusetts,2016,Apr,20,0.0,0.0,0.0,7.0
Michigan,2016,Apr,20,0.0,0.0,0.0,3.0
Minnesota,2016,Apr,20,0.0,0.0,0.0,13.0
Mississippi,2016,Apr,20,0.0,0.0,0.0,3.0
Missouri,2016,Apr,20,0.0,0.0,0.0,3.0
Montana,2016,Apr,20,0.0,0.0,0.0,1.0
Nebraska,2016,Apr,20,0.0,0.0,0.0,2.0
Nevada,2016,Apr,20,0.0,0.0,0.0,2.0
New Hampshire,2016,Apr,20,0.0,0.0,0.0,2.0
New Jersey,2016,Apr,20,0.0,0.0,0.0,8.0
New Mexico,2016,Apr,20,0.0,0.0,0.0,1.0
New York,2016,Apr,20,0.0,0.0,0.0,60.0
North Carolina,2016,Apr,20,0.0,0.0,0.0,10.0
Ohio,2016,Apr,20,0.0,0.0,0.0,10.0
Oklahoma,2016,Apr,20,0.0,0.0,0.0,4.0
Oregon,2016,Apr,20,0.0,0.0,0.0,6.0
Pennsylvania,2016,Apr,20,0.0,0.0,0.0,15.0
Tennessee,2016,Apr,20,0.0,0.0,0.0,2.0
Texas,2016,Apr,20,0.0,0.0,0.0,30.0
Utah,2016,Apr,20,0.0,0.0,0.0,2.0
Virginia,2016,Apr,20,0.0,0.0,0.0,10.0
Washington,2016,Apr,20,0.0,0.0,0.0,2.0
West Virginia,2016,Apr,20,0.0,0.0,0.0,5.0
American Samoa,2016,Apr,20,14.0,0.0,0.0,0.0
Puerto Rico,2016,Apr,20,474.0,0.0,0.0,2.0
US Virgin Islands,2016,Apr,20,12.0,0.0,0.0,1.0
Alabama,2016,Apr,27,0.0,0.0,0.0,2.0
Arizona,2016,Apr,27,0.0,0.0,0.0,1.0
Arkansas,2016,Apr,27,0.0,0.0,0.0,2.0
California,2016,Apr,27,0.0,0.0,0.0,29.0
Colorado,2016,Apr,27,0.0,0.0,0.0,2.0
Connecticut,2016,Apr,27,0.0,0.0,0.0,1.0
Delaware,2016,Apr,27,0.0,0.0,0.0,3.0
District of Columbia,2016,Apr,27,0.0,0.0,0.0,3.0
Florida,2016,Apr,27,0.0,0.0,0.0,90.0
Georgia,2016,Apr,27,0.0,0.0,0.0,13.0
Hawaii,2016,Apr,27,0.0,0.0,0.0,7.0
Illinois,2016,Apr,27,0.0,0.0,0.0,12.0
Indiana,2016,Apr,27,0.0,0.0,0.0,6.0
Iowa,2016,Apr,27,0.0,0.0,0.0,4.0
Kansas,2016,Apr,27,0.0,0.0,0.0,1.0
Kentucky,2016,Apr,27,0.0,0.0,0.0,5.0
Louisiana,2016,Apr,27,0.0,0.0,0.0,4.0
Maine,2016,Apr,27,0.0,0.0,0.0,2.0
Maryland,2016,Apr,27,0.0,0.0,0.0,11.0
Massachusetts,2016,Apr,27,0.0,0.0,0.0,7.0
Michigan,2016,Apr,27,0.0,0.0,0.0,3.0
Minnesota,2016,Apr,27,0.0,0.0,0.0,14.0
Mississippi,2016,Apr,27,0.0,0.0,0.0,3.0
Missouri,2016,Apr,27,0.0,0.0,0.0,3.0
Montana,2016,Apr,27,0.0,0.0,0.0,1.0
Nebraska,2016,Apr,27,0.0,0.0,0.0,2.0
Nevada,2016,Apr,27,0.0,0.0,0.0,2.0
New Hampshire,2016,Apr,27,0.0,0.0,0.0,3.0
New Jersey,2016,Apr,27,0.0,0.0,0.0,9.0
New Mexico,2016,Apr,27,0.0,0.0,0.0,1.0
New York,2016,Apr,27,0.0,0.0,0.0,77.0
North Carolina,2016,Apr,27,0.0,0.0,0.0,10.0
Ohio,2016,Apr,27,0.0,0.0,0.0,12.0
Oklahoma,2016,Apr,27,0.0,0.0,0.0,4.0
Oregon,2016,Apr,27,0.0,0.0,0.0,6.0
Pennsylvania,2016,Apr,27,0.0,0.0,0.0,16.0
Tennessee,2016,Apr,27,0.0,0.0,0.0,2.0
Texas,2016,Apr,27,0.0,0.0,0.0,30.0
Utah,2016,Apr,27,0.0,0.0,0.0,2.0
Vermont,2016,Apr,27,0.0,0.0,0.0,1.0
Virginia,2016,Apr,27,0.0,0.0,0.0,12.0
Washington,2016,Apr,27,0.0,0.0,0.0,2.0
West Virginia,2016,Apr,27,0.0,0.0,0.0,6.0
American Samoa,2016,Apr,27,14.0,0.0,0.0,0.0
Puerto Rico,2016,Apr,27,570.0,0.0,0.0,2.0
US Virgin Islands,2016,Apr,27,12.0,0.0,0.0,1.0
Alabama,2016,May,4,0.0,0.0,0.0,2.0
Arizona,2016,May,4,0.0,0.0,0.0,1.0
Arkansas,2016,May,4,0.0,0.0,0.0,2.0
