PassengerId,Survived,Survived,,Accuracy
297,1,1,Match,
298,0,0,Match,
299,0,0,Match,
300,0,0,Match,
301,0,0,Match,
302,0,0,Match,
303,0,0,Match,
304,0,0,Match,
305,0,0,,
306,1,1,Match,
307,1,1,,
308,0,0,Match,
309,0,0,Match,
310,0,0,,
311,0,0,Match,
312,0,0,Match,
313,0,0,Match,
314,0,0,,
315,1,1,Match,
316,0,0,,
317,1,1,,
318,0,0,Match,
319,0,0,Match,
320,0,0,Match,
321,0,0,Match,
322,0,0,Match,
323,0,0,Match,
324,0,0,Match,
325,1,1,Match,
326,0,0,Match,
327,0,0,,
328,0,0,Match,
329,0,0,Match,
330,0,0,Match,
331,1,1,Match,
332,0,0,Match,
333,0,0,Match,
334,1,1,Match,
335,0,0,Match,
336,0,0,Match,
337,0,0,Match,
338,0,0,Match,
339,0,0,Match,
340,0,0,Match,
341,0,0,Match,
342,0,0,Match,
343,0,0,Match,
344,1,1,Match,
345,0,0,Match,
346,0,0,,
347,0,0,Match,
348,1,1,Match,
349,0,0,Match,
350,1,1,Match,
351,1,1,Match,
352,0,0,Match,
353,0,0,Match,
354,0,0,Match,
355,1,1,Match,
356,0,0,Match,
357,1,1,Match,
358,0,0,Match,
359,0,0,Match,
360,0,0,,
361,0,0,Match,
362,1,1,Match,
363,1,1,Match,
364,0,0,Match,
365,1,1,Match,
366,0,0,,
367,0,0,Match,
368,0,0,,
369,1,1,Match,
370,0,0,Match,
371,0,0,Match,
372,1,1,Match,
373,0,0,Match,
374,0,0,Match,
375,1,1,Match,
376,1,1,Match,
377,0,0,,
378,0,0,Match,
379,0,0,Match,
380,0,0,Match,
381,0,0,Match,
382,0,0,Match,
383,0,0,,
384,0,0,,
385,0,0,Match,
386,1,1,Match,
387,0,0,Match,
388,0,0,Match,
389,0,0,Match,
390,0,0,Match,
391,0,0,Match,
392,1,1,Match,
393,0,0,Match,
394,0,0,Match,
395,0,0,Match,
396,1,1,Match,
397,0,0,Match,
398,1,1,Match,
399,0,0,Match,
400,0,0,Match,
401,1,1,Match,
402,0,0,Match,
403,1,1,Match,
404,0,0,Match,
405,0,0,Match,
406,0,0,Match,
407,0,0,Match,
408,1,1,,
409,0,0,,
410,1,1,Match,
411,0,0,,
412,1,1,Match,
413,0,0,,
414,0,0,Match,
415,1,1,Match,
416,0,0,Match,
417,0,0,Match,
418,0,0,Match,
